08/01/16 | 15:05:14 | testeur  | verifier_tp tremblay_gu verif209261452283524 .tmpOtoWeb/Labo51.java
08/01/16 | 15:05:17 | tremblay_gu | lister_evaluations tremblay_gu
08/01/16 | 15:05:17 | tremblay_gu | desactiver_eval --public verif209261452283524
08/01/16 | 15:05:20 | tremblay_gu | activer_eval --public verif209261452283534 .tmpOtoWeb/Labo71.oto .tmpOtoWeb/tests-labo71.txt
08/01/16 | 15:05:21 | testeur  | lister_evaluations tremblay_gu
08/01/16 | 15:05:22 | testeur  | verifier_tp tremblay_gu verif209261452283534 .tmpOtoWeb/Labo7.java
08/01/16 | 15:05:29 | tremblay_gu | lister_evaluations tremblay_gu
08/01/16 | 15:05:29 | tremblay_gu | desactiver_eval --public verif209261452283534
12/01/16 | 18:43:56 | fd091123 | lister_evaluations descheneauxc
13/01/16 | 18:46:21 | fd091123 | lister_boites descheneauxc
13/01/16 | 18:46:22 | fd091123 | lister_boites descheneauxc
13/01/16 | 18:46:44 | dc291255 | lister_boites descheneauxc
13/01/16 | 18:46:47 | fd091123 | lister_evaluations descheneauxc
13/01/16 | 18:46:59 | dc291255 | confirmer_remise descheneauxc null TOUE06049208
